OBJECTID,Route,Signing,Qualifier,Ramp,DOT ID,County Order,Factor Group,Station Start,Station End,HPMS Sample ID,Bridge ID,Railroad Crossing,NHS,Roadway Name,Roadway Number,Speed,Oneway,Region County Station,Station ID,Route ID,From Measure,To Measure,COUNT_STATS_ID,County FIPS,Station Number,Continuous Count Site ID,Functional Class,Federal Direction,Full Count,Oneway Flag,Calculation Year,AE_Flag,AADT,DHV,DDHV,Single Unit AADT,Combination Unit AADT,Most Recent Count Year,Most Recent AADT,K-Factor,D-Factor,2nd Most Recent Count Year,2nd Most Recent AADT,3rd Most Recent Count Year,3rd Most Recent AADT,4th Most Recent Count Year,4th Most Recent AADT,Class Count Year,Class F3 - F13 %,Truck or Heavy Vehicle %,Single Unit Truck or Bus %,Combination Truck %,Motorcycle %,Passenger Vehicle %,Light Duty Truck %,Bus %,Single Unit Truck %,Axle Factor,Single Unit Peak %,CU_Peak,Class Group Year,Speed Count Year,Speed Limit,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55 mph,Vehicles Exceeding 65 mph,Average K-Factor,Average D-Factor,NYS Direction Code,Truck AADT,Symbolized Truck Percentage AADT,Truck AADT Type (Actual vs. Estimated),Truck Percent Source Field Name,Region Name,Region Number,County Number,Morning Highest Value,Afternoon Highest Value,Evening Highest Value
44550167, , ,0,0I087011507G,272621,1,30,US 9 NB,I-87 SB (ON), , , ,Y,I87 Exit 13 Sar, ,0,Y,,153029,272621011,0,0.32,45234806,091,3029,,11,Combined Total,Y,Y,2019,F,763,67,67,25,41,2015,721,9,100,2010,332,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,66,9,Estimated,,,,,59,64,68
44550168, , ,1, ,181570,1,30,LAWRENCE ST,DEAD END, , , , ,MARIE ST, ,30, ,,755053,181570011,0.28,0.42,45212227,089,5053,,19,Combined Total,Y,,2019,F,58,6,3,0,0,2013,64,10,57,,,,,,,2013,17,0,0,0,0,83,17,0,0,1,0,0,2019,2013,30,16,16,23,0,0,13.07251072,59.18663025,0,0,0,Actual,,,,,6,7,7
44550173, , ,1, ,148340,1,30,HOOK RD,CR 8, , , , ,MARTZ RD, ,0, ,,445000,148340011,0,0.57,45239990,069,5000,,19,Combined Total,Y,,2019,F,665,67,37,23,6,2015,734,10,56,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,29,4,Estimated,,,,,77,35,81
44550182, , ,0,NY106010302F,272242,1,30,SR106 NB (OFF),908 G WB (ON), , , ,Y,NY 106 at 908G, ,0,Y,,033129,272242011,0,0.17,45283914,059,3129,,12,Combined Total,Y,Y,2019,F,5131,412,412,1,1,2017,4930,8,100,2010,4674,,,,,2017,4,0,0,0,0,96,4,0,0,1,0,0,2019,2017,0,18,21,24,0,0,13.07251072,59.18663025,0,2,0,Actual,,,,,236,352,380
44550192, , ,1, ,254502,1,30,STRONG AVE,NEW YORK AVE, , , , ,THIRTY FIFTH ST, ,0, ,,072630,254502011,0,0.55,45231902,103,2630,,19,Combined Total,Y,,2019,F,2520,237,125,93,9,2015,2614,9,53,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,102,4,Estimated,,,,,148,151,231
44550194, ,5,1, ,177495,1,40,NY 26,NEWMAN RD, , , , ,OLD STATE ROUTE,CR192,55, ,,738331,177495011,0,1.65,45224843,045,8331,,8,Combined Total,Y,,2019,F,995,86,53,62,12,2014,1008,9,62,2012,961,2006,1052,2004,1067,,,,,,,,,,,,,,2019,,,,,,,,11.33219433,58.65974808,0,74,7,Estimated,,,,,63,76,103
44550195, ,5,1, ,179875,1,40,WATER ST,NY 37, ,3341230, , ,RAYMONDVILLE-LO,CR39,55, ,,756071,179875011,3.92,4.86,45333296,089,6071,,8,Combined Total,Y,,2019,A,697,62,32,55,10,2019,697,9,51,2018,729,2008,885,2000,196,2019,40,9,8,1,1,59,30,0,8,1,1,0,2019,2019,55,36,37,43,0,0,11.33219433,58.65974808,0,65,9,Actual,,,,,60,63,74
44550196, , ,1, ,163561,1,30,BAILEY AVE,BUFFALO CL, , , , ,GENESEE ST, ,30, ,,534377,163561011,3.44,4.28,45271002,029,4377,,16,Combined Total,Y,,2019,A,14441,1082,592,406,24,2019,14441,7,55,2014,11513,2010,7986,2007,8066,2014,17,3,3,0,1,83,14,1,2,1,0,0,2019,2014,30,30,32,37,0,0,13.07251072,59.18663025,0,430,3,Actual,,,,,801,945,1183
44550208, ,5,1, ,156925,1,30,COLE RD,BOSTON/COLDEN TL, , , , ,BOST-COLDEN RD,CR222,45, ,,534092,156925011,1.09,2.22,45300375,029,4092,,7,Combined Total,Y,,2019,A,1319,116,73,69,5,2019,1319,9,63,2017,1426,2014,1429,2011,1321,2014,31,6,5,0,1,68,25,0,5,1,1,0,2019,2014,35,39,42,51,4,0,13.07251072,59.18663025,0,74,6,Actual,,,,,92,83,126
44550214, , ,1, ,207193,1,30,GRAMATAN AVE,HUSSEY RD, , , , ,PRIMROSE AVE, ,30,Y,,871495,207193011,0,0.68,45277628,119,1495,,17,Combined Total,Y,Y,2019,F,1025,116,116,16,0,2016,1026,11,100,2010,2135,,,,,2016,11,2,2,0,0,89,9,0,2,1,0,0,2019,2016,30,17,19,24,0,0,13.07251072,59.18663025,0,16,2,Actual,,,,,67,58,64
