OBJECTID,Route,Signing,Qualifier,Ramp,DOT ID,County Order,Factor Group,Station Start,Station End,HPMS Sample ID,Bridge ID,Railroad Crossing,NHS,Roadway Name,Roadway Number,Speed,Oneway,Region County Station,Station ID,Route ID,From Measure,To Measure,COUNT_STATS_ID,County FIPS,Station Number,Continuous Count Site ID,Functional Class,Federal Direction,Full Count,Oneway Flag,Calculation Year,AE_Flag,AADT,DHV,DDHV,Single Unit AADT,Combination Unit AADT,Most Recent Count Year,Most Recent AADT,K-Factor,D-Factor,2nd Most Recent Count Year,2nd Most Recent AADT,3rd Most Recent Count Year,3rd Most Recent AADT,4th Most Recent Count Year,4th Most Recent AADT,Class Count Year,Class F3 - F13 %,Truck or Heavy Vehicle %,Single Unit Truck or Bus %,Combination Truck %,Motorcycle %,Passenger Vehicle %,Light Duty Truck %,Bus %,Single Unit Truck %,Axle Factor,Single Unit Peak %,CU_Peak,Class Group Year,Speed Count Year,Speed Limit,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55 mph,Vehicles Exceeding 65 mph,Average K-Factor,Average D-Factor,NYS Direction Code,Truck AADT,Symbolized Truck Percentage AADT,Truck AADT Type (Actual vs. Estimated),Truck Percent Source Field Name,Region Name,Region Number,County Number,Morning Highest Value,Afternoon Highest Value,Evening Highest Value
44551038, , ,1, ,138851,1,30,E SENECA ST,E COURT ST, , , , ,N AURORA ST, ,30,Y,,364001,138851011,0.7,0.85,45294550,109,4001,,16,Combined Total,Y,Y,2019,F,5137,523,523,180,31,2017,5164,10,100,2011,5675,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,211,4,Estimated,,,,,336,352,365
44552216, , ,1, ,138951,1,30,UNIVERSITY AVE,E FALLS ST, , , , ,LAKE ST, ,0, ,,364024,138951011,0,0.26,45323386,109,4024,,16,Combined Total,Y,,2019,F,3526,390,248,67,1,2018,3535,11,64,2015,3421,2010,2791,,,2015,10,2,2,0,1,89,8,1,1,1,0,0,2019,2015,30,22,23,27,0,0,13.07251072,59.18663025,0,68,2,Actual,,,,,166,261,293
44554348, ,5,1, ,137775,1,40,CR 120/PINE TREE RD,ITHACA TL,2002925, , , ,ELLIS HOLLOW RD,CR110,45, ,,361004,137775011,0.53,1.38,45294524,109,1004,,17,Combined Total,Y,,2019,F,4162,415,290,214,19,2017,4185,10,70,2009,4196,2006,4645,2002,4547,2009,,6,5,0,,,,,,,0,0,2019,,,,,,,,11.33219433,58.65974808,0,233,6,Actual,,,,,267,294,386
44555297, , ,1, ,138933,1,30,AURORA ST,HUDSON ST, , , , ,HILLVIEW PL, ,0, ,,364021,138933011,0.15,0.28,45205577,109,4021,,19,Combined Total,Y,,2019,F,802,69,48,35,8,2010,907,9,70,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,43,5,Estimated,,,,,72,61,86
44556990, , ,1, ,138653,1,30,HANSHAW RD,CAYUGA HEIGHTS V/L, , , , ,PLEASANT GROVE, ,0, ,,362025,138653011,0,0.62,45323350,109,2025,,16,Combined Total,Y,,2019,F,5762,550,375,202,35,2018,5777,10,68,2014,6171,2011,5845,2008,6288,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,237,4,Estimated,,,,,352,390,458
44557299, , ,1, ,138861,1,30,AURORA ST,EDDY ST, , , , ,BUFFALO ST, ,30, ,,364005,138861011,0.64,1.07,45323379,109,4005,,16,Combined Total,Y,,2019,F,5408,503,269,36,1,2018,5422,9,54,2015,4985,2009,6205,,,2015,9,1,1,0,1,90,8,0,1,1,0,0,2019,2015,30,25,27,32,0,0,13.07251072,59.18663025,0,37,1,Actual,,,,,182,294,329
44557917, , ,1, ,139004,1,30,WILLARD WAY,VILLAGE LINE,2014041,2210620, , ,STEWART AVE, ,30, ,,366031,139004011,0.79,1.27,45294609,109,6031,,17,Combined Total,Y,,2019,F,4285,432,217,145,20,2017,4308,10,50,2011,5776,2008,4161,2000,4573,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,165,4,Estimated,,,,,164,191,198
44558229, , ,1, ,138939,1,30,CODDINGTON RD,PROSPECT ST, , , , ,HUDSON ST, ,30, ,,368513,138939011,0,0.62,45267334,109,8513,,17,Combined Total,Y,,2019,A,5584,528,305,153,0,2019,5584,9,58,2016,5518,2010,3940,2005,5496,2019,13,3,3,0,0,87,10,1,1,1,0,0,2019,2019,30,18,21,28,0,0,13.07251072,59.18663025,0,153,3,Actual,,,,,294,272,421
44558857,79,3,1, ,100481,5,40,ACC RTS 89 & 96,FLORAL AVE,2001908,2210660, , ,W STATE ST, ,30, ,,360474,138996011,0.08,0.13,45218644,109,0474,,16,Combined Total,Y,,2019,F,16115,1523,898,736,110,2014,16330,9,59,2009,15857,2006,18809,2002,15511,2009,,5,5,1,,,,,,,0,0,2019,,,,,,,,11.33219433,58.65974808,0,846,5,Actual,,,,,1133,1066,1341
44558858,79,3,1, ,100481,5,40,ACC RTS 89 & 96,FLORAL AVE,2001908,2210660, , ,W STATE ST, ,30, ,,360474,300483011,0.73,0.87,45218644,109,0474,,16,Combined Total,Y,,2019,F,16115,1523,898,736,110,2014,16330,9,59,2009,15857,2006,18809,2002,15511,2009,,5,5,1,,,,,,,0,0,2019,,,,,,,,11.33219433,58.65974808,0,846,5,Actual,,,,,1133,1066,1341
44558859,79,3,1, ,100481,5,40,ACC RTS 89 & 96,FLORAL AVE,2001908,2210660, , ,W STATE ST, ,30, ,,360474,100481051,13.26,13.45,45218644,109,0474,,16,Combined Total,Y,,2019,F,16115,1523,898,736,110,2014,16330,9,59,2009,15857,2006,18809,2002,15511,2009,,5,5,1,,,,,,,0,0,2019,,,,,,,,11.33219433,58.65974808,0,846,5,Actual,,,,,1133,1066,1341
44559413, , ,1, ,138861,1,30,MEADOW ST,N PLAIN ST, , , , ,BUFFALO ST, ,30, ,,364002,138861011,0,0.23,45239244,109,4002,,16,Combined Total,Y,,2019,A,5400,464,264,111,1,2019,5400,9,57,2015,5295,2009,5447,,,2015,16,2,2,0,0,84,14,0,2,1,0,0,2019,2015,30,16,18,24,0,0,13.07251072,59.18663025,0,112,2,Actual,,,,,294,351,420
44560109, , ,1, ,138295,1,30,EAST SHORE DR,CAYUGA HGTS V/L, ,3314300, , ,RENWICK DR, ,0, ,,366130,138295011,0,0.49,45323429,109,6130,,19,Combined Total,Y,,2019,F,260,28,15,11,3,2018,263,11,55,2013,365,2008,254,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,14,5,Estimated,,,,,20,22,31
44560788,13A,3,1, ,100060,1,30,CITY OF ITHACA,RT 79 END RT 13A,2000749, , , ,FLORAL AVE, ,30, ,,360470,138917011,0,0.94,45323301,109,0470,,16,Combined Total,Y,,2019,F,5801,563,422,405,20,2018,5816,10,75,2014,5435,2009,5459,2005,5301,2018,25,7,7,0,0,74,18,2,5,1,1,0,2019,2018,30,32,33,37,0,0,13.07251072,59.18663025,0,425,7,Actual,,,,,398,398,576
44560789,13A,3,1, ,100060,1,30,CITY OF ITHACA,RT 79 END RT 13A,2000749, , , ,FLORAL AVE, ,30, ,,360470,100060011,1.14,2.08,45323301,109,0470,,16,Combined Total,Y,,2019,F,5801,563,422,405,20,2018,5816,10,75,2014,5435,2009,5459,2005,5301,2018,25,7,7,0,0,74,18,2,5,1,1,0,2019,2018,30,32,33,37,0,0,13.07251072,59.18663025,0,425,7,Actual,,,,,398,398,576
44561115, ,5,1, ,137824,1,40,ELLIS HOLLOW RD,STEVENSON RD, ,3314190, , ,TURKEY HILL RD,CR161,55, ,,366121,137824011,0,0.98,45267217,109,6121,,9,Combined Total,Y,,2019,F,1555,167,100,41,11,2016,1570,11,60,2010,1520,2000,1492,,,2016,19,3,3,1,1,80,15,0,2,1,0,0,2019,2016,55,47,49,56,19,1,11.33219433,58.65974808,0,52,3,Actual,,,,,160,114,183
44563890,89,3,1, ,100499,1,40,END 89/96 OLAP,ITHACA CL / ITHACA TL,2002056,1077240, , ,TAUGHANNOCK N, ,30, ,,360036,100499011,0.21,1.62,45294497,109,0036,,17,Combined Total,Y,,2019,F,6347,582,344,191,71,2017,6382,9,59,2010,5186,2007,6366,2004,5200,2017,19,4,3,1,0,81,15,1,2,1,0,0,2019,2017,30,34,35,39,0,0,11.33219433,58.65974808,0,262,4,Actual,,,,,517,543,658
44565447, , ,1, ,138883,1,30,HUDSON ST,SIX MILE CREEK, , , , ,COLUMBIA ST, ,30, ,,364009,138883011,0.23,0.37,45267019,109,4009,,17,Combined Total,Y,,2019,A,2878,309,179,97,13,2019,2878,11,58,2016,2295,2010,1569,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,110,4,Estimated,,,,,138,158,262
44565588, , ,1, ,263330,1,30,S MEADOW ST,S PLAIN ST, , , , ,ELMIRA RD, ,30, ,,368611,263330011,0,0.3,45267349,109,8611,,16,Combined Total,Y,,2019,A,12822,1165,696,315,9,2019,12822,9,60,2016,10547,2010,7690,,,2019,15,3,2,0,0,85,12,1,2,1,0,0,2019,2019,30,29,30,34,0,0,13.07251072,59.18663025,0,324,3,Actual,,,,,593,981,1078
44566067, , ,1, ,263330,1,30,S PLAIN ST,S ALBANY ST, , , , ,ELMIRA RD, ,30, ,,364045,263330011,0.3,0.43,45267079,109,4045,,16,Combined Total,Y,,2019,A,11756,1080,653,282,13,2019,11756,9,60,2016,9935,2010,7501,,,2019,15,3,2,0,0,85,12,0,2,1,0,0,2019,2019,30,27,28,33,0,0,13.07251072,59.18663025,0,295,3,Actual,,,,,528,874,992
44568476, , ,1, ,138981,1,30,ELMIRA RD,N TITUS AVE, ,2210410, , ,S PLAIN ST, ,0, ,,366014,138981011,0,0.25,45218659,109,6014,,16,Combined Total,Y,,2019,A,1518,156,83,38,0,2019,1518,10,54,2014,1798,2011,1536,2008,1630,2014,13,3,3,0,1,86,10,0,2,1,0,0,2019,2014,30,13,10,17,0,0,13.07251072,59.18663025,0,38,3,Actual,,,,,88,142,168
44568776, , ,1, ,138896,1,30,COLLEGE AVE,MAPLE AVE, , , , ,DRYDEN RD, ,30, ,,364015,138896011,0.13,0.53,45267028,109,4015,,16,Combined Total,Y,,2019,A,3215,253,139,84,7,2019,3215,8,55,2016,1010,2010,3131,,,2019,11,3,3,0,1,88,8,0,2,1,0,0,2019,2019,30,19,22,27,0,0,13.07251072,59.18663025,0,91,3,Actual,,,,,261,255,276
44569751, , ,1, ,138981,1,30,GREEN ST,BUFFALO ST, , , , ,S PLAIN ST, ,0, ,,364028,138981011,0.54,0.73,45267040,109,4028,,16,Combined Total,Y,,2019,A,2546,300,209,72,0,2019,2546,12,70,2016,1811,2010,2259,,,2019,13,3,3,0,2,85,10,1,2,1,0,0,2019,2019,25,14,12,20,0,0,13.07251072,59.18663025,0,72,3,Actual,,,,,137,182,199
44573164, , ,1, ,138909,1,30,STEWART AVE,THURSTON AVE, , , , ,FALL CREEK DR, ,0, ,,368601,138909011,0,0.38,45205633,109,8601,,19,Combined Total,Y,,2019,F,1178,93,47,52,12,2010,1332,8,50,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,64,5,Estimated,,,,,75,77,107
44573790, , ,1, ,138851,1,30,E MARSHALL ST,E LINCOLN ST, , , , ,N AURORA ST, ,30, ,,362036,138851011,1.09,1.5,45323367,109,2036,,16,Combined Total,Y,,2019,F,2750,297,239,97,17,2018,2757,11,80,2014,2655,2011,2174,2008,2772,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,114,4,Estimated,,,,,103,119,146
44575280, , ,1, ,138870,1,30,WOODLAND PL,E CITY LINE,8000009,2210600, , ,N CAYUGA ST, ,30, ,,366029,138870011,1.47,1.94,45294604,109,6029,,16,Combined Total,Y,,2019,F,3876,646,357,166,6,2017,3897,17,55,2009,3732,2005,3765,,,2009,,4,4,0,,,,,,,1,0,2019,,,,,,,,13.07251072,59.18663025,0,172,4,Actual,,,,,161,188,198
44576109, , ,1, ,138870,1,30,FARM ST,E JAY ST, , , , ,N CAYUGA ST, ,30, ,,368610,138870011,0.88,1.34,45267346,109,8610,,16,Combined Total,Y,,2019,A,6153,696,403,268,1,2019,6153,11,58,2016,6233,2010,4227,,,2016,14,4,4,0,1,86,9,2,2,1,0,0,2019,2016,30,22,24,29,0,0,13.07251072,59.18663025,0,269,4,Actual,,,,,357,385,438
44576947, , ,1, ,139013,1,30,CASCADILLA ST,END, , ,362088Y, ,THIRD ST, ,0, ,,367014,139013011,0,0.64,45267256,109,7014,,19,Combined Total,Y,,2019,F,610,64,40,91,0,2016,635,10,63,2010,813,2009,968,2003,873,2016,39,15,15,0,0,61,24,0,15,1,1,0,2019,2016,30,15,15,23,0,0,13.07251072,59.18663025,0,91,15,Actual,,,,,49,53,85
44577268, , ,1, ,139014,1,30,BARTON PL,UNIVERSITY AVE, ,2210630, , ,THURSTON AVE, ,0, ,,366032,139014011,0.15,0.67,45267112,109,6032,,19,Combined Total,Y,,2019,F,5691,456,264,378,4,2016,5920,8,58,2010,3080,2000,10768,,,2016,17,7,7,0,3,80,10,5,2,1,0,0,2019,2016,30,16,16,24,0,0,13.07251072,59.18663025,0,382,7,Actual,,,,,282,401,444
44577473, ,5,1, ,137783,1,30,E KING RD,ITHACA CITY LN, , , , ,CODDINGTON RD,CR119,45, ,,368824,137783011,8.04,10.23,45267358,109,8824,,17,Combined Total,Y,,2019,A,1287,126,83,27,2,2019,1287,10,66,2016,1411,2013,1492,2010,1246,2010,22,2,2,0,1,77,20,0,2,1,0,0,2019,2010,40,44,46,51,4,0,13.07251072,59.18663025,0,29,2,Actual,,,,,118,76,134
44579532, , ,1, ,138950,1,30,HANCOCK ST,ADAMS ST, , , , ,LAKE AVE, ,0, ,,364023,138950011,0.25,0.33,45205580,109,4023,,19,Combined Total,Y,,2019,F,45,6,3,0,0,2010,51,13,57,,,,,,,2010,17,0,0,0,8,75,17,0,0,1,0,0,2019,2010,30,15,14,23,0,0,13.07251072,59.18663025,0,0,0,Actual,,,,,5,7,3
44580976,96,3,1, ,100760,2,30,END 89/96 OLAP,ITHACA CL / ITHACA TL,6933021,1077230, , ,CLIFF ST, ,30, ,,360031,138878011,0,1.02,45294491,109,0031,,16,Combined Total,Y,,2019,F,13719,1245,695,455,132,2017,13792,9,56,2009,13540,2002,13081,,,2017,19,4,3,1,0,81,15,1,3,1,0,0,2019,2017,30,34,35,39,0,0,13.07251072,59.18663025,0,587,4,Actual,,,,,899,774,1043
44580977,96,3,1, ,100760,2,30,END 89/96 OLAP,ITHACA CL / ITHACA TL,6933021,1077230, , ,CLIFF ST, ,30, ,,360031,100760021,12.89,14.08,45294491,109,0031,,16,Combined Total,Y,,2019,F,13719,1245,695,455,132,2017,13792,9,56,2009,13540,2002,13081,,,2017,19,4,3,1,0,81,15,1,3,1,0,0,2019,2017,30,34,35,39,0,0,13.07251072,59.18663025,0,587,4,Actual,,,,,899,774,1043
44581666, , ,1, ,138867,1,30,FULTON ST,CAYUGA ST, , , , ,CASCADILLA ST, ,30, ,,368602,138867011,0.07,0.62,45267341,109,8602,,17,Combined Total,Y,,2019,A,2745,269,139,96,2,2019,2745,10,52,2016,2272,2010,2577,,,2010,16,4,4,0,1,83,13,1,3,1,0,0,2019,2010,30,19,22,27,0,0,13.07251072,59.18663025,0,98,4,Actual,,,,,164,215,263
44583026, , ,1, ,301492,1,30,NY 13,PIER RD, , ,362089F, ,WILLOW AVE, ,0, ,,367015,301492011,0,0.26,45294657,109,7015,,19,Combined Total,Y,,2019,F,1813,157,87,80,18,2017,1861,9,55,2011,2211,2006,2532,2004,2188,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,98,5,Estimated,,,,,142,174,170
44585302, , ,1, ,139003,1,30,AUORA ST,SENECA ST/GREEN ST SPLIT, , , , ,E STATE ST, ,0, ,,364036,139003011,0,0.09,45267058,109,4036,,16,Combined Total,Y,,2019,F,6306,505,392,139,7,2016,6356,8,78,2010,7702,,,,,2016,11,2,2,0,0,89,8,1,1,1,0,0,2019,2016,30,15,13,22,0,0,13.07251072,59.18663025,0,146,2,Actual,,,,,424,526,536
