OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
30863171,366055,36,FREESE RD,HANSHAW RD,NY 366,19,40,497' N of Dryden Rd.        ,NB travel lane                                    ,1,2016,7,19,Northbound,,6,4,1,2,4,11,37,119,136,90,68,69,70,66,72,89,100,93,45,42,32,24,9,10,1199,1.181,1,1015,136,9,10,1008,155,0,18,0,0,0,0,0,0,0,0,,1191,15,2,2,0,1,85,13,0,2,1,0,0,,,22,26,33,0,0,,3,6,,42.4566,-76.43788,381772.1672,4701475.5491
30863172,366055,36,FREESE RD,HANSHAW RD,NY 366,19,40,497' N of Dryden Rd.        ,SB travel lane                                    ,1,2016,7,19,Southbound,,4,2,2,1,3,12,24,63,88,63,66,72,75,66,77,102,109,133,71,53,36,33,14,12,1181,1.181,1,1000,136,9,7,989,159,2,21,0,0,2,0,0,0,0,0,,1180,16,2,2,0,1,84,13,0,2,1,0,0,,,27,28,34,0,0,,3,6,,42.4566,-76.43788,381772.1672,4701475.5491
30863173,366055,36,FREESE RD,HANSHAW RD,NY 366,19,40,497' N of Dryden Rd.        ,,1,2016,7,19,Combined Total,Y,10,6,3,3,7,23,61,182,224,153,134,141,145,132,149,191,209,226,116,95,68,57,23,22,2380,1.181,1,2015,226,18,17,1997,314,2,39,0,0,2,0,0,0,0,0,,2371,15,2,2,0,1,84,13,0,2,1,0,0,,,24,27,33,0,0,,3,6,,42.4566,-76.43788,381772.1672,4701475.5491
30865879,364044,36,WAIT AVE,TRIPHAMMER RD,THURSTON AVE,16,30,93' S of Wyckoff Ave.       ,NB travel lane                                    ,1,2016,8,29,Northbound,,3,2,2,0,1,3,6,25,33,16,14,12,15,16,11,12,18,17,11,14,10,7,2,1,251,1.089,1,230,33,9,0,207,32,0,3,0,0,0,0,0,0,0,0,,242,14,1,1,0,0,86,13,0,1,1,0,0,,,14,12,21,0,0,,3,6,,42.45443,-76.48409,377968.3197999997,4701300.005899999
30865880,364044,36,WAIT AVE,TRIPHAMMER RD,THURSTON AVE,16,30,93' S of Wyckoff Ave.       ,SB travel lane                                    ,1,2016,8,29,Southbound,,4,3,1,1,2,1,4,15,20,20,14,23,24,24,25,35,64,43,32,18,20,17,10,5,425,1.089,1,390,64,17,0,365,48,0,5,0,0,0,0,0,0,0,0,,418,13,1,1,0,0,87,11,0,1,1,0,0,,,16,16,23,0,0,,3,6,,42.45443,-76.48409,377968.3197999997,4701300.005899999
30865881,364044,36,WAIT AVE,TRIPHAMMER RD,THURSTON AVE,16,30,93' S of Wyckoff Ave.       ,,1,2016,8,29,Combined Total,Y,7,5,3,1,3,4,10,40,53,36,28,35,39,40,36,47,82,60,43,32,30,24,12,6,676,1.089,1,620,82,17,0,572,80,0,8,0,0,0,0,0,0,0,0,,660,13,1,1,0,0,87,12,0,1,1,0,0,,,15,14,23,0,0,,3,6,,42.45443,-76.48409,377968.3197999997,4701300.005899999
30865882,366032,36,THURSTON AVE,BARTON PL,UNIVERSITY AVE,19,30,250' S of Credit Farm Dr.   ,NB travel lane                                    ,1,2016,8,29,Northbound,,64,30,14,13,15,32,64,130,152,151,156,168,169,160,179,208,262,299,263,214,187,180,136,99,3345,1.089,1,3072,299,18,190,2540,364,146,65,9,0,3,0,0,0,0,0,,3317,18,7,7,0,6,77,11,4,2,1,0,0,,,16,18,24,0,0,,3,6,,42.45192,-76.48135,378188.76020000037,4701017.3564
30865883,366032,36,THURSTON AVE,BARTON PL,UNIVERSITY AVE,19,30,250' S of Credit Farm Dr.   ,SB travel lane                                    ,1,2016,8,29,Southbound,,39,20,7,11,8,22,55,158,203,214,172,169,156,150,167,157,216,218,229,228,187,149,104,62,3101,1.089,1,2848,299,18,24,2582,278,152,52,2,0,2,0,0,0,0,0,,3092,16,7,7,0,1,84,9,5,2,1,0,0,,,16,15,23,0,0,,3,6,,42.45192,-76.48135,378188.76020000037,4701017.3564
30865884,366032,36,THURSTON AVE,BARTON PL,UNIVERSITY AVE,19,30,250' S of Credit Farm Dr.   ,,1,2016,8,29,Combined Total,Y,103,50,21,24,23,54,119,288,355,365,328,337,325,310,346,365,478,517,492,442,374,329,240,161,6446,1.089,1,5920,517,18,214,5122,642,298,117,11,0,5,0,0,0,0,0,,6409,17,7,7,0,3,80,10,5,2,1,0,0,,,16,16,24,0,0,,3,6,,42.45192,-76.48135,378188.76020000037,4701017.3564
30866659,366063,36,DODGE RD,ELLIS HOLLOW R,STEVENSON RD,9,40,514 ' S of Stevenson Rd.    ,NB travel lane                                    ,1,2016,8,23,Northbound,,0,0,0,0,0,1,1,6,6,3,3,2,4,4,2,3,4,2,1,2,1,1,0,0,46,1.186,1,39,6,8,2,30,9,0,0,0,0,0,0,0,0,0,0,,41,22,0,0,0,5,73,22,0,0,1,0,0,,,26,29,34,0,0,,3,6,,42.44272,-76.44332,381298.6514999997,4699941.896500001
